@relation movie

@attribute category {TITLE, TYPE, RATING, GENRE, CATEGORY, OWNED_BY,CERTIFICATE, COLOR_INFO, PRODUCTION_STATUS, SOUND }
@attribute text string

@data
TITLE, 'title'
TITLE, 'movie title'
TITLE, 'movie name'
TITLE, 'picture title'
TITLE, 'motion picture'
TITLE, 'name'
TITLE, 'film'
TITLE, 'feature film'
TITLE, 'flick'
TITLE, 'moving picture'
TITLE, 'Feature Film
TYPE, 'tv movie'
TYPE, 'tv series'
TYPE, 'play'
TYPE, 'series'
TYPE, 'drama series'
TYPE, 'tv episode'
TYPE, 'drama episode'
TYPE, 'tv special'
TYPE, 'mini series'
TYPE, 'documentary'
TYPE, 'video game'
TYPE, 'short film'
TYPE, 'video'
TYPE, 'short'
RATING, 'rating'
RATING, 'user rating'
RATING, 'user votes'
RATING, 'votes'
RATING, 'stars'
RATING, 'critic votes'
RATING, 'critic rating'
RATING, 'popularity'
RATING, 'upvotes'
RATING, 'likes'
GENRE, 'likes'
GENRE, 'action'
GENRE, 'adventure'
GENRE, 'animation'
GENRE, 'biography'
GENRE, 'comedy'
GENRE, 'crime'
GENRE, 'documentary'
GENRE, 'drama'
GENRE, 'family'
GENRE, 'fantasy'
GENRE, 'film noir'
GENRE, 'game show'
GENRE, 'history'
GENRE, 'horror'
GENRE, 'music'
GENRE, 'musical'
GENRE, 'mystery'
GENRE, 'news'
GENRE, 'reality tv'
GENRE, 'romance'
GENRE, 'sci fi'
GENRE, 'sport'
GENRE, 'talk show'
GENRE, 'thriller'
GENRE, 'war'
GENRE, 'western'
CATEGORY, 'imdb top 100'
CATEGORY, 'imdb top 250'
CATEGORY, 'imdb top 1000'
CATEGORY, 'now playing'
CATEGORY, 'oscar winning'
CATEGORY, 'oscar'
CATEGORY, 'best picture winning'
CATEGORY, 'best picture'
CATEGORY, 'best director winning'
CATEGORY, 'best director'
CATEGORY, 'oscar nominated'
CATEGORY, 'emmy award winning'
CATEGORY, 'emmy'
CATEGORY, 'emmy award nominated'
CATEGORY, 'golden globe winning'
CATEGORY, 'golden globe'
CATEGORY, 'golden globe nominated'
CATEGORY, 'razzie winning'
CATEGORY, 'razzie'
CATEGORY, 'razzie nominated'
CATEGORY, 'national film board preserved'
CATEGORY, 'imdb bottom 100'
CATEGORY, 'imdb bottom 250'
CATEGORY, 'imdb bottom 1000'
OWNED_BY, '20th century fox'
OWNED_BY, 'sony'
OWNED_BY, 'dreamworks'
OWNED_BY, 'mgm'
OWNED_BY, 'paramount'
OWNED_BY, 'universal'
OWNED_BY, 'walt disney'
OWNED_BY, 'warner bros'
OWNED_BY, 'zee entertainment enterprises'
OWNED_BY, 'zagreb film'
OWNED_BY, 'yoshizawa shōten'
