@relation input

@attribute category {l, p, r, s}
@attribute text string

@data
l,'fname lname email email address submit submit email address submit thank sid kitchen meg studio llc'
l,'username password username password login forgot password log academy art university'
l,'lsd api key cancel url display enable profile  profile selector ids return session skip api login signed trynum timezone email pass login log email phone password forgotten account facebook'
l,'lsd api key cancel url display enable profile  profile selector ids return session skip api login signed trynum timezone email pass login log email phone password forgotten account facebook'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'username password desturl username password login forgot password log academy art university'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'determine email user email user password tumblelog user age user tos context version follow redirect http referer form key seen suggestion used suggestion used auto suggestion tumblr slide random username suggestions email email password username submit email email password username old read understand agree tumblr terms service submit log tumblr'
l,'username password username password log forgot log login instagram'
l,'js enabled session key session password signin state session redirect csrf token source alias sign email phone password forgot password cancel sign linkedin'
l,'log pwd remember me wp submit redirect log username email address password stay signed wordpress com log'
l,'js enabled session key session password signin state session redirect csrf token source alias sign email phone password forgot password cancel sign linkedin'
l,'log pwd remember me wp submit redirect log username email address password stay signed wordpress com log'
l,'search block form op form build id form id search help search search form search login trouble help center'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'log pwd remember me wp submit redirect log username email address password stay signed developer resources log'
l,'log pwd remember me wp submit redirect log username email address password stay signed wordpress com log'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'password remember sign username customer forgot password forgot signed sign sign'
l,'js enabled session key session password signin state session redirect csrf token source alias sign email phone password forgot password cancel sign linkedin'
l,'js enabled session key session password signin state session redirect csrf token source alias sign email phone password forgot password cancel sign linkedin'
l,'js enabled session key session password signin state session redirect csrf token source alias sign email phone password forgot password cancel sign linkedin'
l,'log pwd remember me wp submit redirect log username email address password stay signed wordpress com log'
l,'log pwd remember me wp submit redirect log username email address password stay signed wordpress com log'
l,'log pwd remember me wp submit redirect log username email address password stay signed wordpress com log'
l,'email phone username password mobile number email username password log facebook sign sign photos videos friends log facebook sign signing agree terms privacy policy login instagram'
l,'js enabled session key session password signin state session redirect csrf token source alias sign email phone password forgot password cancel sign linkedin'
